OBJECTID,Name,Operator,Owner,Address,Is 24 Hours,Car Park Count,Has Carpark Cost,Max Time Limit,Has Tourist Attraction,Latitude,Longitude,Current Type,Date First Operational,Number Of Connectors,Connectors List,Has Charging Cost,GlobalID,x,y
175651,TLC Piopio,The Lines Company,The Lines Company,"35 Moa Street, Piopio ",True,2,False,Unlimited,False,-38.465401,175.018908,DC,,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,90a6ca37-8007-4594-a17f-9dfb090cfa49,1776136.99334145,5740614.93097221
175652,TLC Ōtorohanga,The Lines Company,The Lines Company,"5 Bell Lane, Ōtorohanga",True,2,False,Unlimited,True,-38.186369,175.212033,DC,,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,db7f26b4-c558-459e-8f74-73ab5d437150,1793729.51466743,5771194.02428442
175653,TLC Taumarunui,The Lines Company,The Lines Company,"116 Hakiaha Street, Taumarunui ",True,2,False,Unlimited,True,-38.882868,175.265623,DC,,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,a14d974d-25a6-4cce-9f76-8e5b39f6a843,1796518.28669883,5693781.84529463
175654,TLC Ohakune,The Lines Company,The Lines Company,"Mangateitei Terrace, Ohakune",True,2,False,Unlimited,True,-39.418318,175.398382,DC,,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,aeecb611-4a4e-4e2c-9921-8659ede8f0a8,1806463.4812062,5634055.76817643
175655,CHRISTCHURCH ARTS CENTRE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"25 Hereford Street, 8013 Christchurch Central City",True,1,False,Unlimited,False,-43.5317722902937,172.629456924128,AC,8/1/2023 12:00:00 AM,4,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:4}",True,a8db8967-b5dc-4ded-9531-306a38f69dc3,1570059.39591221,5180063.35771471
175656,NZ BLOOD SERVICE,MERIDIAN ENERGY LIMITED,NZ BLOOD SERVICE,"71 Great South Road, 1051 Epsom",False,1,False,Unlimited,False,-36.8817717,174.7840395,AC,10/12/2019 12:00:00 AM,4,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:4}",False,12f97d73-655f-4708-9309-e3b52cbda733,1758989.49990367,5916757.10799218
175657,Ruakura,WEL Networks Ltd,WEL Networks Ltd,"Ruakura service station, Ruakura Road, Hillcrest, Hamilton 3286",True,4,False,Unlimited,False,-37.77918196,175.33323701,DC,5/11/2023 12:00:00 AM,4,"{DC, 160 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 160 kW, CHAdeMO, Status: Operative, Count:1}",True,52874b0b-2293-46f6-84c0-167d79b2d447,1805479.00320674,5816120.84063767
175658,Z Ashburton,Z Energy,Z Energy,"141 West Street, Ashburton 7700",True,4,False,Unlimited,False,-43.9048041514059,171.745152487853,DC,11/28/2023 12:00:00 AM,4,"{DC, 200 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 200 kW, Type 2 CCS, Status: Inoperative, Count:1}",True,13f6be3e-822c-4225-9327-6a233f6a6cc8,1499232.67544149,5137934.99096999
175659,bp charge Bombay,BP,bp charge,"216 MILL ROAD, BOMBAY, Auckland 2675",True,2,False,Unlimited,False,-37.1928925602966,174.98125992209,DC,4/14/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,77095be3-7b49-472b-b4ce-f635c9748942,1775847.9308771,5881890.75979084
175660,bp charge Cambridge,BP,bp charge,"98 Victoria Street Leamington, Waikato 3434, ",True,2,False,Unlimited,False,-37.89063215,175.4674683,DC,12/1/2022 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,9f40f855-cdc3-412c-a473-7a156a3a2354,1816975.09495691,5803449.0755718
175661,bp charge Cavendish,BP,bp charge,"116 Cavendish Drive, Manukau, Auckland 2104",True,2,False,Unlimited,False,-36.9904085235478,174.867748660118,DC,5/19/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,80067859-5ce9-4492-a244-cd0f21ea098f,1766214.00257349,5904561.26477005
175662,bp charge Dairy Flat,BP,bp charge,"Auckland-Waiwera Motorway State Highway 1, Dairy Flat, Auckland 0794",True,4,False,Unlimited,False,-36.6596261184466,174.666754398333,DC,4/21/2023 12:00:00 AM,4,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,c741fe66-77eb-4c61-8b01-58f4f386d8c7,1748965.75351211,5941591.44681859
175663,bp charge Dallington,BP,bp charge,"712 Gloucester Street Lynwood East, Canterbury 8062, ",True,2,False,Unlimited,False,-43.5255715,172.6736171,DC,3/3/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,55a7f6dc-d5f4-4792-94d5-1dd78fbc3efe,1573624.92475978,5180766.95655372
175664,bp charge Edgeware,BP,bp charge,Edgeware Road & Cranford Street Christchurch,True,2,False,Unlimited,False,-43.51286344,172.637772,DC,12/14/2022 12:00:00 AM,2,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,c4a735f4-0bde-4b3c-8dc8-de45764f99ad,1570722.12809297,5182166.30730383
175665,bp charge Fendalton,BP,bp charge,"1 Memorial Avenue, Ilam, Christchurch 8053, ",True,2,False,Unlimited,False,-43.5189556072734,172.590019976721,DC,2/15/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,70ccdc12-7b22-4c0b-ae4c-ad63b97aac79,1566865.79640754,5181471.81207093
175666,bp charge Flat Bush,BP,bp charge,"300 Ormiston Road, Flat Bush, Auckland",True,4,False,Unlimited,False,-36.9631358548379,174.901361597483,DC,7/27/2023 12:00:00 AM,4,"{DC, 150 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 150 kW, CHAdeMO, Status: Operative, Count:1}",True,2bb70d6b-d270-49d3-833b-8b06a007d280,1769265.99662202,5907527.93773081
175667,bp charge Frankton,BP,bp charge,"Cnr Massey Street and Lincoln Street, Frankton, Hamilton 3204 ",True,2,False,Unlimited,False,-37.788896,175.258885,DC,5/23/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,429ccd6f-dbb7-47f4-8d8e-a900c152243d,1798904.19441041,5815203.73559324
175668,bp charge Glenview,BP,bp charge,"216 Ohaupo Road Glenview, Waikato 3206, New Zealand",True,2,False,Unlimited,False,-37.822233,175.286619,DC,5/23/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,f57f26a7-f9c6-4524-85e5-0cc8b0732edd,1801256.06235717,5811444.912735
175669,bp charge Greenlane,BP,bp charge,"93 Green Lane East, Remuera, Auckland 1050",True,2,False,Unlimited,False,-36.8924336367827,174.797130892625,DC,2/24/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,c632fabb-6d07-46f2-8c81-0f3577fb550e,1760134.00431404,5915552.31161461
175670,bp charge Herne bay,BP,bp charge,"136 Jervois Road, Herne Bay, Auckland",True,2,False,Unlimited,False,-36.8455654090743,174.738132568751,DC,4/17/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,d3fb983c-dcd5-414c-80c9-0045db6af63c,1754971.14748786,5920849.51991184
